Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Norway,European Region of WHO,Northern Europe,2005,1,2005-01-03,2005-01-09,,178,1,,5,,3,9,,,2,2,11,,Sporadic

Norway,European Region of WHO,Northern Europe,2005,2,2005-01-10,2005-01-16,,236,0,,1,,2,3,,,0,0,3,,Sporadic

Norway,European Region of WHO,Northern Europe,2005,3,2005-01-17,2005-01-23,,229,0,,7,,0,7,,,2,2,9,,Sporadic

Norway,European Region of WHO,Northern Europe,2005,4,2005-01-24,2005-01-30,,219,1,,12,,3,16,,,4,4,20,,Sporadic

Norway,European Region of WHO,Northern Europe,2005,5,2005-01-31,2005-02-06,,230,2,,5,,13,20,,,6,6,26,,Sporadic

Norway,European Region of WHO,Northern Europe,2005,6,2005-02-07,2005-02-13,,159,0,,13,,9,22,,,6,6,28,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2005,7,2005-02-14,2005-02-20,,254,0,,14,,23,37,,,13,13,50,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2005,8,2005-02-21,2005-02-27,,236,4,,17,,21,42,,,11,11,53,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2005,9,2005-02-28,2005-03-06,,245,1,,11,,26,38,,,10,10,48,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2005,10,2005-03-07,2005-03-13,,252,1,,7,,27,35,,,17,17,52,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2005,11,2005-03-14,2005-03-20,,279,4,,12,,47,63,,,16,16,79,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2005,12,2005-03-21,2005-03-27,,219,1,,1,,34,36,,,11,11,47,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2005,13,2005-03-28,2005-04-03,,208,1,,1,,21,23,,,11,11,34,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2005,14,2005-04-04,2005-04-10,,191,2,,1,,10,13,,,10,10,23,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2005,15,2005-04-11,2005-04-17,,190,1,,1,,7,9,,,10,10,19,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2005,16,2005-04-18,2005-04-24,,267,0,,1,,8,9,,,9,9,18,,Regional Outbreak

Norway,European Region of WHO,Northern Europe,2005,17,2005-04-25,2005-05-01,,153,0,,1,,1,2,,,4,4,6,,Regional Outbreak

Norway,European Region of WHO,Northern Europe,2005,18,2005-05-02,2005-05-08,,130,0,,1,,4,5,,,4,4,9,,Regional Outbreak

Norway,European Region of WHO,Northern Europe,2005,19,2005-05-09,2005-05-15,,134,0,,0,,3,3,,,2,2,5,,Local Outbreak

Norway,European Region of WHO,Northern Europe,2005,20,2005-05-16,2005-05-22,,81,0,,0,,1,1,,,1,1,2,,Sporadic

Norway,European Region of WHO,Northern Europe,2005,21,2005-05-23,2005-05-29,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,22,2005-05-30,2005-06-05,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,23,2005-06-06,2005-06-12,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,24,2005-06-13,2005-06-19,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,25,2005-06-20,2005-06-26,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,26,2005-06-27,2005-07-03,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,27,2005-07-04,2005-07-10,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,28,2005-07-11,2005-07-17,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,29,2005-07-18,2005-07-24,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,30,2005-07-25,2005-07-31,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,31,2005-08-01,2005-08-07,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,32,2005-08-08,2005-08-14,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,33,2005-08-15,2005-08-21,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,34,2005-08-22,2005-08-28,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,35,2005-08-29,2005-09-04,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,36,2005-09-05,2005-09-11,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,37,2005-09-12,2005-09-18,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,38,2005-09-19,2005-09-25,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,39,2005-09-26,2005-10-02,,,,,,,,,,,,,,,No Report

Norway,European Region of WHO,Northern Europe,2005,40,2005-10-03,2005-10-09,,18,0,,0,,0,0,,,0,0,0,,No Activity

Norway,European Region of WHO,Northern Europe,2005,41,2005-10-10,2005-10-16,,37,0,,0,,0,0,,,0,0,0,,No Activity

Norway,European Region of WHO,Northern Europe,2005,42,2005-10-17,2005-10-23,,41,0,,0,,0,0,,,0,0,0,,No Activity

Norway,European Region of WHO,Northern Europe,2005,43,2005-10-24,2005-10-30,,34,0,,0,,0,0,,,0,0,0,,No Activity

Norway,European Region of WHO,Northern Europe,2005,44,2005-10-31,2005-11-06,,36,0,,0,,0,0,,,0,0,0,,No Activity

Norway,European Region of WHO,Northern Europe,2005,45,2005-11-07,2005-11-13,,140,0,,0,,0,0,,,0,0,0,,No Activity

Norway,European Region of WHO,Northern Europe,2005,46,2005-11-14,2005-11-20,,230,0,,0,,0,0,,,0,0,0,,No Activity

Norway,European Region of WHO,Northern Europe,2005,47,2005-11-21,2005-11-27,,285,0,,0,,0,0,,,0,0,0,,No Activity

Norway,European Region of WHO,Northern Europe,2005,48,2005-11-28,2005-12-04,,293,0,,0,,0,0,,,0,0,0,,No Activity

Norway,European Region of WHO,Northern Europe,2005,49,2005-12-05,2005-12-11,,305,0,,0,,0,0,,,1,1,1,,Sporadic

Norway,European Region of WHO,Northern Europe,2005,50,2005-12-12,2005-12-18,,393,0,,0,,0,0,,,4,4,4,,Sporadic

Norway,European Region of WHO,Northern Europe,2005,51,2005-12-19,2005-12-25,,298,1,,1,,0,2,,,6,6,8,,Sporadic

Norway,European Region of WHO,Northern Europe,2005,52,2005-12-26,2006-01-01,,177,0,,2,,0,2,,,12,12,14,,Sporadic


